001_template_update,19-05-2022 21:04:22,23,
002_refactor_global_constants,01-09-2022 16:42:19,23,
003_fix_readme,01-09-2022 17:01:30,23,
004_create_meta_class,18-09-2022 18:30:56,24,
005_cumulative_repository_update,22-03-2023 19:20:37,22,
006_add_models_folder,27-03-2023 11:44:48,22,
007_update_notebook_templates,31-05-2023 18:50:53,22,
008_update_df_explorer,31-05-2023 18:55:04,21,
009_add_time_series_analysis_tools,01-06-2023 12:11:10,40,
010_fix_final_notebook_width_addaptation,01-06-2023 14:22:12,40,
011_update_timer,05-06-2023 13:14:24,40,
012_check_rerun_and_save_all_notebooks,06-06-2023 08:45:31,40,
013_fix_bug_in_saver_and_loader,08-06-2023 13:32:38,40,
014_update_repository,09-12-2023 16:59:27,47,
015_update_repository,10-12-2023 16:59:37,45,
016_add_dict_passing_example_to_param_notebook,16-12-2023 11:15:41,45,
017_add_colors_update_to_visualisations,05-02-2024 20:08:55,45,
018_add_paralelisation_of_notebook_executioner,05-02-2024 20:23:38,45,
019_unify_pipelines_inputs,08-02-2024 10:14:07,44,
